host,accesses, distinct client count
10.122.65.40, 11, 1, 
gbrowse2015.biology.gatech.edu, 5, 4, 
mglopsqa.pdx.aws, 3, 1, 
ec2-54-85-253-117.compute-1.amazonaws.com, 7, 1, 
kansakar-jbrowse.dev.its.iastate.edu, 6, 3, 
gps.devqa.pieriandx.com, 146, 34, 
192.168.203.145:2015, 6, 1, 
xenopus.lab.nig.ac.jp, 322, 7, 
10.55.91.87:2015, 9, 4, 
149.165.169.113, 66, 22, 
bioweb, 3, 1, 
149.165.168.236, 6, 1, 
0.0.0.0:3000, 18, 2, 
10.157.217.23, 8, 3, 
genome.jouy.inra.fr, 194, 4, 
dartmouthopsqa.pdx.aws, 1, 1, 
52.54.120.19:1337, 1, 1, 
54.255.234.227, 3, 1, 
tricoretest.pieriandx.com, 134, 7, 
guineafowl.tpddns.cn, 48, 3, 
10.2.130.133, 17, 4, 
www.phyzen-lab.com, 20, 1, 
10.5.0.171, 48, 1, 
138.4.136.31, 1, 1, 
macroteleia.biosci.ohio-state.edu, 175, 12, 
boba.unbsj.ca, 7, 1, 
www.epigenome.cuhk.edu.hk, 8, 2, 
sonic.pieriandx.com, 152, 3, 
guineafowl.tpddns.cn:8880, 3, 1, 
localhost:2015, 9, 3, 
127.0.0.1:2015, 1, 1, 
genomics.dote.hu, 477, 17, 
10.80.120.27, 3, 1, 
35.188.151.76:5000, 10, 1, 
54.255.249.58, 1, 1, 
172.22.141.166, 4, 2, 
annotation-devel.scilifelab.se:8080, 1, 1, 
aura.science.unitn.it., 1, 1, 
secure.genomenext.com, 32, 5, 
128.206.234.23, 4, 1, 
35.225.203.39:5000, 5, 1, 
192.168.52.129, 401, 2, 
140.109.29.48, 47, 5, 
citrusgreening.org, 14, 3, 
citrusgreening-test.sgn.cornell.edu, 53, 2, 
ufl.analysis.archerdx.com, 147, 25, 
10.10.6.78, 156, 2, 
localhost:2000, 10, 1, 
pieriandxprod.devqa.pieriandx.com, 33, 12, 
10.2.38.19, 38, 4, 
vm-apweb-glent1-dev-1.be.bayercropscience, 24, 3, 
10.54.162.127, 8, 1, 
mgltest.pieriandx.com, 30, 2, 
ec2-52-90-74-242.compute-1.amazonaws.com, 13, 1, 
127.0.0.1:9999, 91, 1, 
fisher.rsb.anu.edu.au, 141, 2, 
172.22.156.27, 3, 2, 
xinlianzhang.blog, 13, 3, 
172.16.0.206:81, 1572, 110, 
147.99.84.190, 4, 3, 
hackensacktest.pieriandx.com, 2, 2, 
uabtest.pieriandx.com, 200, 2, 
35.8.120.44, 210, 18, 
123.206.212.68, 2, 1, 
182.61.35.2:8080, 10, 2, 
172.16.4.41, 24, 2, 
localhost:85, 21, 2, 
www.yhc2.br, 14, 1, 
picea.plantphys.umu.se:9003, 5, 1, 
localhost:12000, 97, 1, 
149.165.168.238, 140, 18, 
dh1981, 49, 2, 
10.21.1.16, 32, 1, 
127.0.0.1:8881, 2, 1, 
172.16.2.2:52280, 11, 1, 
192.168.2.123, 2, 1, 
cedarssinai.devqa.pieriandx.com, 27, 8, 
hentze2.embl.de, 36, 1, 
rcwebapps1.dfci.harvard.edu, 1, 1, 
192.168.56.1, 176, 1, 
moffittopsqa.opsqa.pieriandx.com, 22, 5, 
crobiad.agwine.adelaide.edu.au, 782, 38, 
gwp103:27002, 23, 1, 
211.81.50.198, 11, 1, 
tubic.tju.edu.cn, 158, 13, 
moffitt.devqa.pieriandx.com, 87, 25, 
icugi.org, 3, 2, 
gap.shengxin.ren, 2, 1, 
aurora1.lunarc.lu.se, 7, 1, 
40.163.4.192, 2, 1, 
ribosemap.biosci.gatech.edu, 582, 76, 
localhost:82, 1, 1, 
geneious-test:8888, 109, 1, 
128.206.234.23:8080, 146, 22, 
pieriandxopsqa.opsqa.pieriandx.com, 301, 4, 
xieslab.org, 90, 13, 
apple.nwsuaf.edu.cn, 3, 3, 
wukong:8012, 61, 1, 
192.168.2.91, 37, 8, 
genoweb, 1, 1, 
inova.devqa.pieriandx.com, 5, 2, 
114.215.221.170, 137, 1, 
flims.fulgentgenetics.com:8443, 4, 1, 
10.22.57.177, 140, 1, 
vmr.usask.ca, 71, 7, 
metazome-dev.jgi.doe.gov, 19, 2, 
pddngs-dev-04.biotech.cdc.gov, 46, 1, 
192.168.12.5, 4, 1, 
10.5.126.187, 2, 1, 
10.88.1.56, 7, 2, 
demoopsqa.opsqa.pieriandx.com, 367, 16, 
lipm-browsers-b, 7, 1, 
rapso-dev-is.genouest.org, 2, 1, 
hliopsqa.opsqa.pieriandx.com, 25, 3, 
47.92.145.112, 1, 1, 
10.209.76.17, 4, 2, 
bcid.ca, 3, 3, 
soybase-stage.usda.iastate.edu, 75, 1, 
www.geneconversion.org, 98, 27, 
karaiskakio.analysis.archerdx.com, 55, 2, 
www.mmlnaturalrx.com, 18, 4, 
jbrowse.merck.com:8080, 304, 14, 
picea.plantphys.umu.se:17017, 9, 4, 
10.73.10.175, 3, 1, 
rtpjbrowse.na.agrogroup.net, 21, 2, 
192.168.0.107, 22, 1, 
clevelandclinicopsqa.opsqa.pieriandx.com, 9, 1, 
picea.plantphys.umu.se:17023, 12, 7, 
picea.plantphys.umu.se:16006, 7, 4, 
dev.pseudomonas.com, 3, 3, 
ngspipelines.toulouse.inra.fr:9011, 9, 6, 
172.16.106.167, 7, 1, 
fabienpichon.com, 7, 3, 
psvfw.nottingham.ac.uk, 1, 1, 
adac02.nottingham.ac.uk, 3, 1, 
migale.jouy.inra.fr, 350, 17, 
popfly.uab.es, 8, 2, 
titinviewer.net, 1, 1, 
ec2-54-91-115-195.compute-1.amazonaws.com, 13, 1, 
192.168.248.249:8080, 10, 1, 
111.230.140.177, 45, 10, 
127.0.0.1:8081, 8, 2, 
192.168.200.105, 5, 2, 
10.10.83.238:8000, 24, 1, 
akmu-ratnesh:85, 20, 2, 
proteinmodelling-server.swan.ac.uk, 239, 3, 
jbrowse.bioinfotech.org, 303, 17, 
10.10.87.36:8000, 6, 2, 
wanglab.info, 144, 6, 
192.168.50.205, 1, 1, 
192.168.10.69, 2, 1, 
172.16.10.33, 2, 1, 
118.126.114.209:2048, 1, 1, 
srvodeappadx01v.rsyd.net, 36, 1, 
192.168.1.238:8080, 1, 1, 
192.168.31.190, 2, 1, 
202.38.153.98:8082, 16, 5, 
www.fireflybase.org, 224, 56, 
genomics.si.edu.s3-website-us-east-1.amazonaws.com, 12, 4, 
10.10.10.108:8000, 3, 1, 
192.168.0.119, 145, 1, 
47.93.251.89:8080, 9, 1, 
219.245.195.38, 1, 1, 
140.113.29.228:49080, 28, 4, 
indexdb.ncbs.res.in, 118, 43, 
mgl.pieriandx.com, 1712, 20, 
210.72.92.144, 1, 1, 
172.18.18.66, 11, 3, 
peanutgr.fafu.edu.cn, 618, 130, 
150.26.44.159, 394, 6, 
10.225.66.152, 4, 2, 
bldr-tst-assay-05, 2, 1, 
nmopsqa.opsqa.pieriandx.com, 5, 2, 
dartmouthopsqa.opsqa.pieriandx.com, 10, 1, 
172.16.1.51:8012, 8, 2, 
192.168.4.218:8083, 85, 2, 
172.18.18.66:8080, 86, 7, 
192.168.32.129:8080, 4, 1, 
vm-genoweb.toulouse.inra.fr, 4, 2, 
10.229.101.86, 1, 1, 
wakeforestopsqa.opsqa.pieriandx.com, 2, 1, 
47.96.23.75:8080, 7, 1, 
gon.hsshy.cn:8080, 1, 1, 
192.168.1.249:8081, 1, 1, 
210.34.81.124, 7, 1, 
fireflybase.org, 4, 3, 
172.16.119.129, 8, 3, 
222.200.187.83, 6, 1, 
202.116.90.36, 64, 8, 
10.22.58.97, 42, 1, 
genomes.anatomy.otago.ac.nz, 8, 3, 
172.22.220.21, 1, 1, 
172.20.20.246, 10, 1, 
192.168.224.24:9997, 24, 2, 
192.168.106.109, 39, 1, 
d2nk4ixaqtp9vq.cloudfront.net, 1, 1, 
jbrowse.abolis.loc, 204, 1, 
localhost:9020, 9, 1, 
localhost:84, 3, 1, 
apollo-test:8888, 9, 1, 
crispor.ccm.sickkids.ca, 1437, 3, 
apollo-test.int.janelia.org:8888, 40, 1, 
staph.unavarra.es:10443, 35, 3, 
192.168.31.128, 1, 1, 
39.106.204.218, 838, 21, 
gpstest.test.pieriandx.com, 3, 1, 
39.106.204.218:8080, 10, 1, 
schopsqa.opsqa.pieriandx.com, 10, 2, 
www.gene.bio, 179, 14, 
210.46.85.174:8011, 4, 2, 
archer.thecrick.test, 15, 1, 
tricoreopsqa.opsqa.pieriandx.com, 44, 3, 
www.mangobase.org, 88, 4, 
192.168.230.129, 6, 1, 
mbgapollo.babs.unsw.edu.au, 43, 6, 
10.88.1.138, 1, 1, 
166.111.156.11, 6, 3, 
10.46.33.101:8443, 23, 2, 
localhost:32130, 48, 1, 
fgcz-r-039.uzh.ch, 1, 1, 
149.165.169.118, 70, 8, 
fahctest.pieriandx.com, 5, 2, 
mglopsqa.opsqa.pieriandx.com, 11, 1, 
aventusopsqa.opsqa.pieriandx.com, 1, 1, 
oxy-genopsqa.opsqa.pieriandx.com, 1, 1, 
hub-test.bu.edu, 153, 27, 
192.168.72.25, 16, 2, 
seeders.iptime.org:4880, 109, 1, 
210.36.48.182, 24, 17, 
aurora1, 3, 1, 
lncrna.camdb.org:8082, 22, 5, 
ftp.mangobase.org, 23, 5, 
10.3.128.19:8080, 35, 2, 
172.20.20.247, 709, 3, 
aurora1:8080, 7, 1, 
lipmcinfosc:32130, 10, 1, 
jbrowse.merck.com:8081, 22, 2, 
mcgopsqa.opsqa.pieriandx.com, 40, 6, 
172.25.34.21, 12, 2, 
www-ens.iro.umontreal.ca, 4, 1, 
lambda.pw.usda.gov, 1, 1, 
bioserv.nibb.ac.jp:8113, 1, 1, 
leishseq.cbm.uam.es, 203, 10, 
repeatexplorer.org, 31, 26, 
aurora-rviz01:8080, 5, 1, 
163.9.36.34, 24, 5, 
gps.test.pieriandx.com, 4, 1, 
soybase.org, 1, 1, 
10.30.100.73, 1, 1, 
www.bioinf.uni-leipzig.de, 1, 1, 
10.30.100.73:8060, 6, 1, 
apollo.int.janelia.org:8888, 59, 1, 
10.5.3.95, 7, 1, 
cloud5.galaxyproject.org:8080, 367, 36, 
52.206.58.152:8080, 22, 4, 
52.34.233.229, 2, 1, 
njp-dev.jgi.doe.gov, 962, 36, 
int-cowpea.org:82, 1, 1, 
192.168.143.110:81, 1, 1, 
10.80.121.15, 5, 1, 
10.120.9.16, 4, 1, 
192.168.118.76:9181, 31, 1, 
137.189.133.76, 367, 6, 
192.168.211.81, 9, 3, 
192.168.64.23, 168, 2, 
10.10.87.36:1345, 1, 1, 
10.10.87.36:1234, 1, 1, 
icp-test.incpm.weizmann.ac.il, 126, 2, 
vmdmz62.int.janelia.org:8888, 1, 1, 
apollo.janelia.org:8888, 14, 2, 
192.168.12.52, 13, 1, 
ebbextern:8443, 11, 2, 
192.168.12.52:8000, 22, 1, 
angiosperms.org, 3, 2, 
172.20.20.13:2226, 1, 1, 
10.1.7.47, 1, 1, 
apollo.janelia.org, 427, 21, 
10.160.102.10:8888, 33, 1, 
cmdcolin.github.io, 15, 5, 
10.10.87.36:2468, 1, 1, 
172.20.20.232, 9, 2, 
10.100.0.67, 7, 1, 
10.10.87.36:2469, 1, 1, 
wanglab.info:2469, 3, 1, 
wanglab.info:8888, 25, 1, 
bioinfo, 5, 3, 
planarian.sakura.ne.jp, 1, 1, 
syntheticyeastresource.com, 12, 11, 
198.211.107.37, 14, 2, 
10.10.1.62:8888, 24, 3, 
10.10.2.62, 2, 1, 
sn-jbrowse-0.scinet.ars.usda.gov, 147, 12, 
173.44.42.232, 2, 1, 
teabrowser.shengxin.ren, 863, 19, 
192.168.1.105, 19, 2, 
gewusci.com, 2, 2, 
phln.genome.edu.au, 4, 2, 
www.gewusci.com, 190, 15, 
vbrighttools01x.uzbrussel.be, 3691, 20, 
158.109.126.93:9002, 2, 1, 
192.168.0.101, 40, 8, 
syslab5.nchu.edu.tw, 7, 3, 
test.parasite.wormbase.org, 120, 21, 
10.21.1.56, 126, 2, 
sonictest.pieriandx.com, 10, 1, 
192.168.171.129, 9, 1, 
nod6, 3, 1, 
www.picme.at, 1, 1, 
usegalaxy.eu, 142, 37, 
142.150.214.76, 1, 1, 
knowpulse.usask.ca:8080, 292, 15, 
35.226.210.8:5000, 7, 2, 
10.192.36.1:8080, 1, 1, 
202.141.12.147:85, 25, 4, 
cluster-dev.florimond-desprez.fr:8888, 6, 1, 
www.cpib.ac.uk, 2, 1, 
www.sogou.com, 16, 1, 
192.168.24.40, 56, 1, 
urgi148, 1, 1, 
10.2.40.9, 77, 2, 
dev.wormbase.org:9003, 2, 1, 
www.lungmap.net, 28, 13, 
lungmap.net, 21, 9, 
192.168.1.142:8080, 2, 1, 
suhanggo.seeders.co.kr, 768, 2, 
47.93.251.89, 33, 9, 
10.0.96.180, 5, 1, 
ultron.genclis.com:8080, 44, 1, 
tupaiabase.org, 33, 7, 
ebbextern.uni-muenster.de:8443, 189, 3, 
aurora-rviz02:8080, 4, 1, 
77.235.253.238, 74, 6, 
www.eplant.org, 4, 3, 
eplant.org, 2, 2, 
192.168.1.52, 2, 1, 
140.109.183.233, 644, 27, 
35.225.207.81:5000, 1, 1, 
urgi231:8080, 3, 2, 
192.168.0.7:8888, 5, 1, 
web-new.bioinformatics.ic.ac.uk, 15, 1, 
jbrowse.abolis.loc:8888, 132, 1, 
lvs-archer02, 4, 1, 
www.humanmine.org, 4, 4, 
localhost:8800, 2, 2, 
localhost:8877, 2, 1, 
pombase-dev.bioinformatics.nz, 255, 8, 
www.pombase.org, 2537, 791, 
210.34.81.125, 347, 69, 
ec2-52-87-172-210.compute-1.amazonaws.com, 4, 1, 
134.7.57.190:8888, 149, 9, 
35.225.0.98:5000, 39, 8, 
133.39.75.173, 161, 38, 
222.240.147.229:8012, 6, 3, 
paramecium.i2bc.paris-saclay.fr, 12407, 390, 
106.244.232.196, 135, 1, 
nemogenome.cbrc.kaust.edu.sa, 204, 6, 
ec2-52-91-185-18.compute-1.amazonaws.com, 25, 1, 
www.lisanwanglab.org, 495, 86, 
ec2-35-153-203-133.compute-1.amazonaws.com, 45, 1, 
52.198.117.44, 24, 1, 
srvubudhg001.uct.ac.za, 21, 9, 
cosmic.staging.sanger.ac.uk, 77, 10, 
192.168.118.25, 422, 4, 
0.0.0.0:8080, 272, 11, 
vavbpacr01, 13, 1, 
54.237.218.249, 116, 2, 
mcgtest.pieriandx.com, 30, 1, 
urgi148:8082, 2, 1, 
18.196.138.112:8080, 6, 1, 
www.bing.com, 2, 1, 
northshoreopsqa.opsqa.pieriandx.com, 19, 1, 
192.168.10.185:8080, 37, 2, 
40.197.54.101, 35, 2, 
147.99.34.11, 166, 1, 
web.bioinformatics.ic.ac.uk, 144, 12, 
52.70.95.246, 233, 10, 
10.10.10.130, 31, 1, 
ares.esacinc.com, 31, 3, 
147.8.193.36, 3, 3, 
lacerta.bioinf.uni-leipzig.de, 42, 9, 
www.smartcell.pro, 47, 4, 
59.79.232.77, 1, 1, 
192.168.1.119:8094, 435, 17, 
picea.plantphys.umu.se:18001, 55, 13, 
157.136.94.36, 30, 1, 
141.244.134.147:8000, 1, 1, 
141.244.134.147:9000, 73, 4, 
ngs.labgenomics.com:3002, 2, 1, 
150.26.108.99:9980, 45, 2, 
192.168.42.144:8080, 4, 1, 
192.168.31.197:8080, 32, 1, 
192.168.6.199:50070, 80, 21, 
paramecium.cgm.cnrs-gif.fr, 8, 1, 
218.9.199.12:8009, 49, 3, 
18.196.12.123:8080, 14, 1, 
18.196.12.123, 4, 1, 
18.196.13.226:8080, 6, 1, 
18.196.13.226, 2, 1, 
192.168.99.100:8080, 19, 2, 
192.168.180.128, 6, 2, 
richardslab.ex.ac.uk, 1, 1, 
tcsci.com, 1, 1, 
172.31.6.151, 6, 1, 
202.195.250.105, 922, 39, 
54.202.126.213, 3, 1, 
10.3.128.65, 52, 1, 
172.22.34.202:8009, 19, 1, 
nod6.umbr.cas.cz, 320, 2, 
210.21.87.237:50070, 206, 31, 
archer51.fhcrc.org, 53, 7, 
172.22.34.202:9010, 7, 1, 
155m33r172.imwork.net:12416, 9, 4, 
192.191.192.157, 4, 1, 
192.168.99.51, 5, 1, 
130.92.155.151:8083, 16, 2, 
leish-esp.cbm.uam.es, 1284, 70, 
gum.plantgenie.org, 113, 11, 
176.159.234.116:8080, 14, 4, 
35.158.69.135, 87, 18, 
52.58.217.25, 97, 19, 
scicomp-pc-6.mpi-cbg.de, 94, 2, 
210.36.22.8, 2, 1, 
192.168.122.240, 1, 1, 
tabomics.cn, 1, 1, 
peardb.tabomics.cn, 2, 1, 
biotldr.tabomics.cn, 2, 1, 
218.9.199.12:9010, 8, 1, 
140.113.203.185:8080, 63, 11, 
bioinfor.kib.ac.cn, 40, 7, 
10.1.0.2:8686, 3, 1, 
ngsdemo.persistent.co.in, 1540, 35, 
192.168.25.167, 249, 3, 
www.homd.org., 1, 1, 
clt-sai-1609-f:3232, 74, 1, 
192.168.142.130, 121, 1, 
206.12.100.107, 42, 18, 
bcaballi-curation.igs.umaryland.edu, 10, 3, 
blossom.biol.yorku.ca, 62, 28, 
192.168.56.3, 36, 1, 
xufeng.ngrok.xiaomiqiu.cn, 40, 6, 
35.168.21.81, 1, 1, 
149.165.168.125, 33, 1, 
172.27.32.58, 10, 1, 
www-labs.iro.umontreal.ca, 37, 9, 
localhost:8002, 11, 1, 
192.168.178.43:8080, 5, 1, 
10.88.1.186, 5, 1, 
172.24.105.32, 4, 1, 
192.168.173.17, 10, 1, 
hgen-mlnx1.hgen.slu.se, 64, 11, 
bioinformatics.sandia.gov, 13, 6, 
www.iro.umontreal.ca, 24, 5, 
test.rosaceae.org, 267, 7, 
aleyroctonus.asc.ohio-state.edu, 393, 3, 
192.168.205.107:8080, 3, 1, 
192.168.178.43:8081, 2, 1, 
archer.nki.nl, 44, 1, 
176.159.234.116, 53, 20, 
10.144.64.201, 13, 1, 
129.194.96.117, 71, 13, 
camel.hutton.ac.uk, 15, 1, 
5.51.0.103, 15, 4, 
q2opsqa.opsqa.pieriandx.com, 13, 1, 
ec2-34-228-199-173.compute-1.amazonaws.com, 3, 1, 
xebec.dbs.umt.edu, 130, 12, 
10.14.8.5, 1, 1, 
xylemsap.dbs.umt.edu, 1, 1, 
203.101.225.8:8080, 6, 2, 
smc.analysis.archerdx.com, 31, 4, 
clt-sai-1609-f:3231, 54, 1, 
plasticite:8080, 338, 1, 
plasticite.supagro.inra.fr:8080, 1341, 18, 
18.196.149.218:8080, 34, 1, 
138.197.123.242, 11, 2, 
webapollo.bioinformatics.csiro.au:8080, 1, 1, 
test.togovar.l5dev.jp, 162, 7, 
www.epiplant.hu-berlin.de, 7, 1, 
159.65.161.187, 154, 28, 
10.3.102.122, 6, 1, 
pseudo.brinkman.mbb.sfu.ca, 1, 1, 
jbrowse.ilweb01.lt.local, 2422, 7, 
pombase-dev-oliver1.bioinformatics.nz, 1, 1, 
172.16.1.37, 7, 2, 
phylogicangs, 153, 2, 
sequenceserver.wi.mit.edu, 1, 1, 
legacy.cos.ncsu.edu, 54, 4, 
vs443.vll.se, 136, 6, 
192.168.1.142:8081, 1, 1, 
ngspipelines-sigenae.toulouse.inra.fr:9001, 1, 1, 
mtb.dobzhanskycenter.org, 861, 154, 
192.168.101.123:8080, 1, 1, 
grape1:8080, 3, 1, 
gpsopsqa.opsqa.pieriandx.com, 21, 5, 
fahcopsqa.opsqa.pieriandx.com, 11, 3, 
www.genehome.com:8080, 1, 1, 
192.168.1.93:1111, 6, 1, 
biogate, 25, 1, 
ec2-54-210-37-68.compute-1.amazonaws.com, 14, 2, 
122.219.128.25:281, 3, 1, 
bioinformatik.basf-ag.de, 124, 5, 
129.132.141.242, 5, 1, 
10.114.17.228, 36, 1, 
jb.net, 5, 1, 
ec2-54-91-160-233.compute-1.amazonaws.com, 5, 1, 
localhost:8850, 2, 1, 
litchi.xialab.org:8080, 5, 1, 
bf2i300.insa-lyon.fr:7080, 2, 2, 
140.113.203.185, 307, 42, 
tornado.bio1.rwth-aachen.de, 3, 1, 
urgi223, 4, 2, 
jb.vt.tuwien.ac.at, 7, 4, 
ec2-34-201-111-27.compute-1.amazonaws.com, 4, 1, 
54.236.50.179:1337, 22, 1, 
217.66.201.117, 19, 6, 
139.91.171.210:8080, 21, 7, 
zoidberg, 55, 1, 
fullstack.bx.psu.edu, 1, 1, 
192.168.1.111:8080, 5, 1, 
10.81.0.179, 22, 3, 
hpcviz7.abudhabi.nyu.edu:5901, 25, 3, 
localhost:8288, 1, 1, 
localhost:8300, 1, 1, 
alphagenomix.devqa.pieriandx.com, 8, 4, 
gasp.reefgenomics.org, 5, 2, 
aten.reefgenomics.org, 5, 3, 
vpgsb-jbrowse.scidom.de, 139, 16, 
pdae.reefgenomics.org, 17, 10, 
158.109.57.222, 724, 1, 
10.114.17.118, 10, 1, 
juncogenome2017.ncgas.org, 77, 11, 
dev6, 308, 1, 
34.229.146.7:1337, 33, 3, 
www.maizeinflorescence.org, 2, 2, 
www.genomebrowser.uams.edu, 1, 1, 
gasser-research.vet.unimelb.edu.au, 3, 2, 
138.102.144.67, 6, 1, 
10.216.60.223, 4, 1, 
10.70.251.155, 2, 1, 
bonn-oasis.zmnh.uni-hamburg.de, 45, 3, 
10.101.40.221:9292, 13, 6, 
10.84.2.154, 1, 1, 
jbrowse-dev.jcvi.org, 327, 3, 
web.archive.org, 2, 1, 
www.google.es, 1, 1, 
128.32.118.203, 374, 33, 
ngs.labgenomics.com:3004, 3, 2, 
hevea.biocloud.net, 91, 18, 
192.168.1.111:8888, 1, 1, 
150.26.30.25, 4, 1, 
192.168.106.123, 6, 1, 
scicomp-pc-6.mpi-cbg.de:8088, 430, 3, 
10.0.1.30:8888, 3, 1, 
yambase.org, 91, 36, 
treegenesdb.org, 20, 12, 
elegans.local, 2, 1, 
sjcbiobox.driscolls.com, 3, 1, 
changhui.thermofisher.com, 1, 1, 
192.168.1.129, 3, 1, 
10.96.114.143:8301, 14, 5, 
192.168.1.197:8080, 41, 2, 
rasalghul:2222, 47, 3, 
sjcbiobox.driscolls.com:81, 162, 1, 
192.168.100.9:8085, 43, 1, 
wakagashira.mind.meiji.ac.jp, 5, 2, 
ec2-52-55-17-83.compute-1.amazonaws.com, 25, 3, 
localhost:9021, 6, 2, 
184.72.219.192, 3, 1, 
149.165.156.94, 4, 2, 
192.168.1.93:2222, 5, 1, 
23.21.254.0:1337, 109, 5, 
brie.cshl.edu:8085, 20, 4, 
diw3fijgkc9gx.cloudfront.net, 3505, 8, 
reefgenomics.org, 1, 1, 
59.79.232.31:8000, 10, 1, 
www.ehomd.org, 6, 2, 
d7bjdkhvgxpai.cloudfront.net, 2020, 7, 
ec2-54-172-189-199.compute-1.amazonaws.com, 2, 1, 
brie.cshl.edu:8082, 118, 38, 
staging.facebase.org, 132, 9, 
172.25.34.65:8000, 28, 1, 
103.18.1.187, 11, 2, 
34.226.234.96:8080, 29, 1, 
158.108.145.122, 1, 1, 
nereis.univ-lille1.fr:7564, 387, 2, 
35.198.211.204, 5, 3, 
www.pxlence.com, 84, 5, 
vpgsb-jbrowse, 28, 1, 
10.42.1.145, 18, 2, 
ec2-18-144-36-155.us-west-1.compute.amazonaws.com, 1, 1, 
10.127.71.179, 1, 1, 
ec2-18-144-47-76.us-west-1.compute.amazonaws.com, 1, 1, 
192.168.1.124:2222, 5, 1, 
35.168.186.87:1337, 10, 1, 
clingen.demo.cloudseq.sg, 4, 2, 
103.240.168.154, 1, 1, 
analysis.preview6.temp.archerdx.com, 17, 6, 
seabase.obs-vlfr.fr, 120, 10, 
mcgb.uestc.edu.cn:8181, 49, 14, 
ec2-34-230-42-239.compute-1.amazonaws.com, 5, 1, 
seabase, 7, 1, 
172.16.106.109, 18, 1, 
140.116.56.178, 11, 2, 
odin-dev.perkinelmerdna.net, 614, 7, 
ec2-54-174-89-252.compute-1.amazonaws.com, 5, 1, 
140.254.156.169, 399, 41, 
10.2.40.167, 1, 1, 
ec2-34-230-81-79.compute-1.amazonaws.com, 4, 2, 
140.116.56.177, 1683, 16, 
station.dreamgenics.local, 3, 1, 
velona.lns.lu:81, 4, 1, 
velona.lns.lu, 1, 1, 
rasalghul:1111, 30, 2, 
indianatest.pieriandx.com, 12, 2, 
dev.burkholderia.com, 51, 3, 
picea.plantphys.umu.se:10003, 26, 6, 
rasalghul:4444, 5, 1, 
odin7, 57, 1, 
localhost:4200, 11, 1, 
192.168.4.219:8080, 3, 2, 
10.10.87.36:8888, 1, 1, 
47.96.137.15, 7, 3, 
10.225.140.212, 1, 1, 
10.0.4.51, 58, 2, 
10.161.7.52, 20, 2, 
rda-archer01, 2, 1, 
10.229.96.96, 8, 2, 
yuncheng-nrc.ddns.net, 20, 1, 
sjcbiobox.driscolls.com:82, 46, 1, 
149.165.156.91, 1, 1, 
192.168.56.160:8080, 2, 1, 
sch.devqa.pieriandx.com, 4, 2, 
nemogenome.org, 54, 25, 
alphagenomixopsqa.opsqa.pieriandx.com, 1, 1, 
192.168.1.2:8899, 89, 10, 
10.88.1.210, 35, 2, 
www.nemogenome.org, 4, 4, 
pin.nzcorp.net, 19, 1, 
ebbapollo.uni-muenster.de:8443, 64, 2, 
ec2-54-84-237-123.compute-1.amazonaws.com, 2, 1, 
195.252.12.175, 4, 1, 
ec2-54-84-237-123.compute-1.amazonaws.com:8080, 34, 6, 
d16uw076qq0m84.cloudfront.net, 1690, 7, 
utmplmmdlarch2, 2, 1, 
ec2-34-201-39-192.compute-1.amazonaws.com, 2, 1, 
beta:3000, 37, 1, 
chara.asrc.kanazawa-u.ac.jp, 1, 1, 
beta.sgc.loc:3000, 516, 2, 
jbrowse-rgv.genouest.org, 281, 41, 
172.30.14.105, 1, 1, 
192.168.248.128, 15, 2, 
rda-archer01.crii.org, 3, 2, 
172.24.5.190, 4, 1, 
loki:8080, 1, 1, 
cbs.pieriandx.com, 5, 1, 
192.168.1.212:8080, 12, 1, 
192.168.1.166, 12, 1, 
192.168.1.167, 3, 1, 
leptonet.org.in, 8, 4, 
tools.psc.riken.jp, 57, 3, 
vitis.szie.hu, 2, 1, 
10.0.6.30, 2, 1, 
10.71.1.249, 58, 7, 
www.gensas.org:8453, 110, 1, 
ec2-34-235-166-128.compute-1.amazonaws.com, 4, 1, 
bovinegenome.org:8080, 2, 2, 
phylogicangs.ichr.uwa.edu.au, 47, 1, 
ebbapollo:8443, 199, 38, 
dveltri.com, 29, 4, 
192.168.130.205, 1, 1, 
140.254.156.125, 75, 4, 
pgdxopsqa.opsqa.pieriandx.com, 1, 1, 
172.27.127.125, 67, 1, 
59.79.232.31, 44, 3, 
www.plants.leeds.ac.uk, 34, 4, 
124.16.129.48, 1040, 30, 
192.168.72.38, 175, 3, 
nextmoleculartest.pieriandx.com, 1, 1, 
52.50.47.222:10001, 1, 1, 
10.229.9.196, 11, 3, 
bonn-oasis, 4, 1, 
34.250.114.22:10001, 10, 1, 
bhofmei.github.io, 109, 36, 
192.168.72.219, 1, 1, 
jblastdemo.jbrowse.org:1337, 31, 4, 
34.243.129.128:10001, 4, 1, 
34.242.148.92:10001, 3, 1, 
34.244.24.39:10001, 13, 2, 
34.244.191.112:10012, 15, 1, 
34.244.191.112:10011, 17, 1, 
52.213.62.208:10001, 17, 2, 
34.240.3.179:10001, 22, 4, 
34.244.198.155:10009, 13, 1, 
34.243.139.77:10001, 13, 1, 
34.243.177.38:10001, 36, 2, 
34.240.3.203:10001, 13, 1, 
34.244.198.155:10001, 9, 2, 
34.245.150.205:10001, 12, 1, 
52.49.239.78:10001, 7, 1, 
52.215.32.64:10001, 16, 3, 
52.211.27.103:10001, 11, 1, 
34.243.177.38:10002, 3, 2, 
csr.cuhk.edu.hk, 242, 17, 
